NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
210059085136;2023;14;M;2;1;1;1;17;1;;0;;;;;;;;5300108;Brasília;53;DF;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;A;F;E;D;5;F;C;C;D;C;D;C;B;B;D;C;C;B;B;A;B;B;A;A;B
210059527735;2023;12;M;2;1;0;1;16;1;;0;;;;;;;;5300108;Brasília;53;DF;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;F;E;E;B;3;H;A;B;C;C;A;B;B;B;A;B;A;B;B;A;A;C;A;D;B
210061103945;2023;6;F;1;1;1;1;0;1;;0;;;;;;;;4305108;Caxias do Sul;43;RS;1;1;1;1;1221;1193;1204;1211;502;498.9;475.6;363.2;DBEBDCECCBCEBBBBDBABDDBBAABCBACDBACECCBAADEBB;ABDEADAADCDABDCADAEABCDDCBAADCCBEBCEBEBDBEAED;ACEBDCABAACAEBAECEBBBAAECBBDEADCAECCCEDDABEED;CEAEACCCDABCDAACEDDBAAEBABDDEEBDAECABDBCBCADE;1;DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED;ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE;DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED;BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC;1;140;200;100;120;140;700;H;E;C;F;5;C;A;B;D;B;A;B;A;B;A;B;A;A;B;A;A;A;A;A;B
210060214087;2023;2;F;1;3;1;2;0;2;1;0;2304400;Fortaleza;23;CE;2;1;1;2304400;Fortaleza;23;CE;1;1;1;1;1224;1192;1202;1214;459;508.5;507.2;466.7;DEEBEACCCEBDDBDCCCAEEDCBAAADBCBEEEDCDAAECBEEC;DDAAEEBCCDEADBCDDCBAECABEBDEBDABECECEDCDDAEED;ADBDADAEEEACAABBACADCAEBBAAEBBCDEBBDDADDCADAA;EECBAEDEEDDDBBAADEECDBBBECEAACEAEECDBEDDBCDCB;0;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;1;140;200;160;180;200;880;D;D;B;B;5;C;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;D;A;A;B
210059980948;2023;3;F;1;3;1;2;0;2;1;0;2311306;Quixadá;23;CE;2;1;1;2311306;Quixadá;23;CE;1;1;1;1;1222;1191;1201;1212;402.5;379.2;446.9;338.3;AECCEAACDEABEEECDBAEEAAADDEABCBCEBACEEDCBEABD;CADEBCEDDEBCBAEBADDCECACADBDEBABDBDBEEDBBEADC;AABBACBCAEDABDADEDAACCAEEEECAACDCADBAEACDEAAE;CDBABEDCEEBBBDECDEBACCAABDEDCBECDECABBDBDEECC;0;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;1;120;120;120;120;80;560;B;B;A;A;4;B;A;B;A;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
210058061539;2023;6;F;1;3;1;1;0;1;;0;;;;;;;;2913606;Ilhéus;29;BA;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;E;E;D;B;3;C;A;B;B;A;A;B;A;B;A;B;A;A;B;A;A;C;A;A;B
210059855122;2023;11;F;1;3;1;1;12;1;;0;;;;;;;;2611101;Petrolina;26;PE;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;C;C;B;A;1;C;A;B;B;A;A;B;A;A;A;B;A;A;B;A;B;B;A;A;B
210058387333;2023;11;M;1;3;1;1;12;1;;0;;;;;;;;3127701;Governador Valadares;31;MG;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;B;B;B;B;1;A;A;B;C;A;A;B;A;B;A;B;A;A;A;A;A;B;A;B;B
210059085137;2023;5;F;1;2;1;1;1;1;;0;;;;;;;;2927408;Salvador;29;BA;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;E;E;C;B;2;C;A;B;C;A;A;B;A;B;A;B;A;A;B;A;A;C;A;A;B
210060801601;2023;11;M;1;1;1;1;8;1;;0;;;;;;;;3505906;Batatais;35;SP;1;1;1;1;1223;1194;1203;1213;564.7;630.3;610.4;680.2;CBAACDDEDEDEBCDDBACEACECECCEBBDCBEAEABCDBEADB;ABCDCBCACDBEACEBAABADAEBAADCBADBCDCEBADCDAADE;BDBBADAEDBEEACCAAADEACBBACCAEDCDAEEEBAEEDACCE;EBDDECEADDEBCCCCEACDDDCBDBDEAEABABDDCCBDCDACD;0;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;1;120;120;120;120;120;600;H;E;F;D;2;F;A;B;C;B;B;B;B;B;A;B;A;B;C;B;A;C;A;B;B
